unit_price,order_value,quantity,country,major_category,minor_category,description,year,month,quarter,hour,day_time
1.65,9.9,6,United Kingdom,Kitchen,Scales,CHILDREN'S SPACEBOY MUG,2011,3,Q1,15,Afternoon
2.08,2.08,1,United Kingdom,Clothes,Tops,JUMBO BAG ALPHABET,2011,6,Q2,11,Morning
1.45,17.4,12,United Kingdom,Household,Lamps,HOMEMADE JAM SCENTED CANDLES,2011,7,Q3,9,Morning
4.25,12.75,3,United Kingdom,Clothes,Tops,BROWN CHECK CAT DOORSTOP,2011,3,Q1,9,Morning
5.79,5.79,1,United Kingdom,Garden,Seeds,GLASS JAR DIGESTIVE BISCUITS,2011,11,Q4,16,Afternoon
2.08,4.16,2,United Kingdom,Kitchen,Scales,JUMBO BAG DOILEY PATTERNS,2011,7,Q3,16,Afternoon
5.79,52.11,9,United Kingdom,Garden,Hoses,ROSES REGENCY TEACUP AND SAUCER,2011,2,Q1,9,Morning
1.63,1.63,1,United Kingdom,Clothes,Shoes,RETRO MOD TRAY,2011,6,Q2,17,Afternoon
2.08,20.8,10,United Kingdom,Household,Curtains,JUMBO BAG DOLLY GIRL DESIGN,2011,10,Q4,11,Morning
4.25,17.0,4,United Kingdom,Clothes,Shoes,RED RETROSPOT PUDDING BOWL,2010,2,Q1,11,Morning
0.85,0.85,1,United Kingdom,Clothes,Shoes,PACK OF 20 SPACEBOY NAPKINS,2011,10,Q4,11,Morning
0.42,10.5,25,United Kingdom,Household,Rugs,WRAP ENGLISH ROSE,2011,4,Q2,14,Afternoon
1.65,4.95,3,United Kingdom,Household,Rugs,WOOD STAMP SET THANK YOU,2011,1,Q1,15,Afternoon
3.36,23.52,7,United Kingdom,Kitchen,Coasters,CHRISTMAS PUDDING TRINKET POT,2010,6,Q2,10,Morning
2.55,10.2,4,United Kingdom,Household,Rugs,PIGGY BANK RETROSPOT,2011,6,Q2,12,Morning
2.89,5.78,2,United Kingdom,Kitchen,Plates,STORAGE TIN VINTAGE DOILY,2011,9,Q3,15,Afternoon
1.25,1.25,1,United Kingdom,Clothes,Tops,BLUE HARMONICA IN BOX,2011,11,Q4,16,Afternoon
2.46,2.46,1,United Kingdom,Garden,Turf,HEART FILIGREE DOVE  SMALL,2011,2,Q1,9,Morning
3.29,3.29,1,United Kingdom,Garden,Seeds,HEART OF WICKER SMALL,2011,6,Q2,16,Afternoon
4.13,20.65,5,United Kingdom,Garden,Seeds,JUMBO BAG PINK VINTAGE PAISLEY,2011,4,Q2,11,Morning
1.65,6.6,4,United Kingdom,Clothes,Shoes,GARDENERS KNEELING PAD CUP OF TEA,2011,10,Q4,15,Afternoon
0.75,9.0,12,United Kingdom,Clothes,Shoes,ASSORTED COLOURS SILK FAN,2011,2,Q1,13,Afternoon
1.95,1.95,1,United Kingdom,Garden,Turf,3 STRIPEY MICE FELTCRAFT,2011,6,Q2,13,Afternoon
7.95,7.95,1,United Kingdom,Garden,Seeds,DOORMAT FANCY FONT HOME SWEET HOME,2011,2,Q1,11,Morning
1.25,1.25,1,United Kingdom,Garden,Rakes,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,2011,6,Q2,12,Morning
2.46,7.38,3,United Kingdom,Garden,Turf,HEART FILIGREE DOVE  SMALL,2011,8,Q3,16,Afternoon
0.62,7.44,12,United Kingdom,Household,Rugs,PACK OF 6 LARGE FRUIT STRAWS,2011,10,Q4,8,Morning
4.95,4.95,1,United Kingdom,Clothes,Tops,RETROSPOT HEART HOT WATER BOTTLE,2011,10,Q4,13,Afternoon
2.46,22.14,9,United Kingdom,Household,Curtains,TRADITIONAL MODELLING CLAY,2011,11,Q4,13,Afternoon
4.95,9.9,2,United Kingdom,Clothes,Tops,CHOCOLATE HOT WATER BOTTLE,2011,8,Q3,13,Afternoon
3.75,15.0,4,United Kingdom,Garden,Hoses,SET OF 6 SOLDIER SKITTLES,2011,9,Q3,9,Morning
2.1,6.3,3,United Kingdom,Household,Rugs,HAND WARMER BIRD DESIGN,2011,10,Q4,11,Morning
7.46,7.46,1,United Kingdom,Garden,Turf,GREEN FERN SKETCHBOOK,2011,1,Q1,17,Afternoon
7.95,15.9,2,United Kingdom,Clothes,Tops,SWEETHEART WIRE MAGAZINE RACK,2011,5,Q2,12,Morning
0.29,0.29,1,United Kingdom,Kitchen,Plates,SET/4 BIRD MIRROR MAGNETS,2011,11,Q4,10,Morning
1.65,4.95,3,United Kingdom,Garden,Rakes,LUNCH BAG DOLLY GIRL DESIGN,2011,10,Q4,17,Afternoon
0.65,3.9,6,United Kingdom,Garden,Turf,BLACK CANDELABRA T-LIGHT HOLDER,2011,4,Q2,14,Afternoon
0.42,10.5,25,United Kingdom,Garden,Rakes,BLUE SCANDINAVIAN PAISLEY WRAP,2011,8,Q3,17,Afternoon
1.95,5.85,3,United Kingdom,Clothes,Shoes,DOLLY GIRL LUNCH BOX,2011,7,Q3,10,Morning
1.25,1.25,1,United Kingdom,Clothes,Shoes,GROW A FLYTRAP OR SUNFLOWER IN TIN,2011,11,Q4,14,Afternoon
2.08,20.8,10,United Kingdom,Kitchen,Bowls,JUMBO BAG 50'S CHRISTMAS,2011,12,Q4,12,Morning
3.25,26.0,8,United Kingdom,Kitchen,Plates,CREAM CUPID HEARTS COAT HANGER,2010,5,Q2,13,Afternoon
0.83,0.83,1,United Kingdom,Garden,Turf,GOLD MINI TAPE MEASURE,2011,9,Q3,17,Afternoon
1.63,1.63,1,United Kingdom,Garden,Hoses,PORCELAIN ROSE SMALL,2011,10,Q4,12,Morning
4.95,29.7,6,United Kingdom,Clothes,Hats,SPOTTY BUNTING,2011,5,Q2,17,Afternoon
1.25,7.5,6,United Kingdom,Garden,Rakes,ROMANTIC PINKS RIBBONS,2011,4,Q2,15,Afternoon
0.79,9.48,12,United Kingdom,Kitchen,Cooking Knives,ASS FLORAL PRINT SPIRIT LEVEL,2011,10,Q4,12,Morning
1.25,3.75,3,United Kingdom,Kitchen,Bowls,TRADITIONAL WOODEN CATCH CUP GAME,2011,2,Q1,14,Afternoon
3.29,3.29,1,United Kingdom,Clothes,Shoes,JAM MAKING SET PRINTED,2011,7,Q3,15,Afternoon
3.75,3.75,1,United Kingdom,Kitchen,Coasters,ALARM CLOCK BAKELIKE RED,2010,12,Q4,12,Morning
1.25,3.75,3,United Kingdom,Household,Curtains,UNION JACK FLAG LUGGAGE TAG,2011,9,Q3,17,Afternoon
1.25,15.0,12,United Kingdom,Clothes,Tops,POCKET BAG BLUE PAISLEY RED SPOT,2011,9,Q3,15,Afternoon
1.45,2.9,2,United Kingdom,Garden,Turf,PANTRY MAGNETIC  SHOPPING LIST,2011,2,Q1,14,Afternoon
2.46,4.92,2,United Kingdom,Kitchen,Plates,SKULLS WRITING SET,2011,1,Q1,14,Afternoon
4.95,9.9,2,United Kingdom,Household,Rugs,GINGHAM RECIPE BOOK BOX,2011,10,Q4,16,Afternoon
4.13,4.13,1,United Kingdom,Clothes,Shoes,SET OF 5 LUCKY CAT MAGNETS,2011,7,Q3,12,Morning
2.08,24.96,12,United Kingdom,Clothes,Hats,BICYCLE PUNCTURE REPAIR KIT,2011,7,Q3,12,Morning
2.46,2.46,1,United Kingdom,Clothes,Tops,ROLL WRAP VINTAGE SPOT,2011,2,Q1,16,Afternoon
0.55,13.2,24,United Kingdom,Garden,Seeds,72 SWEETHEART FAIRY CAKE CASES,2011,4,Q2,8,Morning
1.45,34.8,24,United Kingdom,Kitchen,Plates,JAM MAKING SET PRINTED,2011,2,Q1,12,Morning
2.95,35.4,12,United Kingdom,Clothes,Shoes,NATURAL SLATE HEART CHALKBOARD,2011,8,Q3,15,Afternoon
0.85,2.55,3,United Kingdom,Clothes,Tops,CHRISTMAS RETROSPOT TREE WOOD,2011,11,Q4,13,Afternoon
1.65,1.65,1,United Kingdom,Garden,Seeds,PLASTERS IN TIN CIRCUS PARADE,2011,3,Q1,12,Morning
0.42,10.5,25,United Kingdom,Household,Curtains,WRAP SUKI AND FRIENDS,2011,11,Q4,9,Morning
2.95,2.95,1,United Kingdom,Clothes,Tops,RECIPE BOX RETROSPOT,2011,3,Q1,20,Evening
4.25,4.25,1,United Kingdom,Garden,Turf,BOX OF 6 ASSORTED COLOUR TEASPOONS,2011,4,Q2,10,Morning
2.08,20.8,10,United Kingdom,Household,Chairs,JUMBO  BAG BAROQUE BLACK WHITE,2011,7,Q3,14,Afternoon
1.25,15.0,12,United Kingdom,Household,Curtains,HOME SWEET HOME MUG,2011,3,Q1,12,Morning
0.39,9.36,24,United Kingdom,Household,Rugs,MOODY GIRL DOOR HANGER,2011,9,Q3,14,Afternoon
4.13,4.13,1,United Kingdom,Household,Curtains,JUMBO SHOPPER VINTAGE RED PAISLEY,2011,4,Q2,10,Morning
4.95,14.85,3,United Kingdom,Kitchen,Cutlery,EMPIRE UNION JACK TV DINNER TRAY,2011,8,Q3,9,Morning
2.95,11.8,4,United Kingdom,Household,Lamps,PHOTO FRAME CORNICE,2011,8,Q3,13,Afternoon
0.83,0.83,1,United Kingdom,Household,Chairs,TOILET SIGN OCCUPIED OR VACANT,2011,11,Q4,14,Afternoon
1.25,7.5,6,United Kingdom,Clothes,Tops,RETRO COFFEE MUGS ASSORTED,2011,1,Q1,12,Morning
0.79,3.16,4,United Kingdom,Household,Lamps,SET OF 4 NAPKIN CHARMS CROWNS,2011,6,Q2,10,Morning
1.65,19.8,12,United Kingdom,Kitchen,Scales,HEART FILIGREE DOVE LARGE,2011,10,Q4,10,Morning
0.83,1.66,2,United Kingdom,Household,Lamps,SCOTTIE DOGS BABY BIB,2011,7,Q3,16,Afternoon
2.49,4.98,2,United Kingdom,Household,Curtains,BOX OF 6 MINI VINTAGE CRACKERS,2011,11,Q4,16,Afternoon
5.95,17.85,3,United Kingdom,Garden,Seeds,BLACK/BLUE POLKADOT UMBRELLA,2011,6,Q2,12,Morning
4.95,39.6,8,United Kingdom,Kitchen,Plates,PARTY BUNTING,2011,6,Q2,13,Afternoon
1.66,6.64,4,United Kingdom,Household,Lamps,SMALL HEART MEASURING SPOONS,2010,12,Q4,15,Afternoon
7.46,29.84,4,United Kingdom,Clothes,Shoes,SET 6 SCHOOL MILK BOTTLES IN CRATE,2011,7,Q3,10,Morning
3.29,3.29,1,United Kingdom,Garden,Seeds,CERAMIC CHERRY CAKE MONEY BANK,2011,11,Q4,16,Afternoon
0.42,0.84,2,United Kingdom,Clothes,Shoes,CARD SUKI BIRTHDAY,2011,8,Q3,18,Afternoon
0.55,1.1,2,United Kingdom,Household,Curtains,SET OF 60 I LOVE LONDON CAKE CASES,2011,1,Q1,12,Morning
4.95,4.95,1,United Kingdom,Kitchen,Scales,CHOCOLATE HOT WATER BOTTLE,2010,1,Q1,11,Morning
1.25,2.5,2,United Kingdom,Garden,Turf,MODERN FLORAL STATIONERY SET,2011,2,Q1,13,Afternoon
1.65,16.5,10,United Kingdom,Household,Lamps,LUNCH BAG PINK POLKADOT,2011,3,Q1,15,Afternoon
4.25,8.5,2,United Kingdom,Kitchen,Plates,SET3 BOOK BOX GREEN GINGHAM FLOWER,2011,6,Q2,15,Afternoon
1.63,1.63,1,United Kingdom,Household,Curtains,VINTAGE SNAP CARDS,2011,3,Q1,16,Afternoon
2.46,2.46,1,United Kingdom,Household,Rugs,CIRCUS PARADE CHILDRENS EGG CUP,2011,6,Q2,15,Afternoon
1.45,1.45,1,United Kingdom,Clothes,Shoes,SKETCHBOOK MAGNETIC SHOPPING LIST,2011,11,Q4,12,Morning
0.85,10.2,12,United Kingdom,Clothes,Shoes,EASTER DECORATION SITTING BUNNY,2011,9,Q3,12,Morning
7.95,31.8,4,United Kingdom,Kitchen,Scales,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011,8,Q3,13,Afternoon
4.13,4.13,1,United Kingdom,Clothes,Tops,RED GINGHAM ROSE JEWELLERY BOX,2011,11,Q4,15,Afternoon
1.25,1.25,1,United Kingdom,Clothes,Tops,CHOCOLATE BOX RIBBONS,2011,6,Q2,11,Morning
1.45,1.45,1,United Kingdom,Garden,Seeds,VINTAGE LEAF MAGNETIC NOTEPAD,2011,11,Q4,11,Morning
4.95,4.95,1,United Kingdom,Kitchen,Bowls,APRON APPLE DELIGHT,2011,7,Q3,12,Morning
0.85,10.2,12,United Kingdom,Garden,Turf,SANDALWOOD FAN,2011,6,Q2,15,Afternoon
0.85,5.95,7,United Kingdom,Kitchen,Bowls,SET OF 6 3D KIT CARDS FOR KIDS,2011,11,Q4,12,Morning
2.55,15.3,6,United Kingdom,Kitchen,Plates,GLITTER BUTTERFLY CLIPS,2011,11,Q4,14,Afternoon
1.65,16.5,10,United Kingdom,Garden,Seeds,RIBBON REEL FLORA + FAUNA,2011,10,Q4,15,Afternoon
4.95,44.55,9,United Kingdom,Kitchen,Cooking Knives,CHOCOLATE HOT WATER BOTTLE,2011,10,Q4,9,Morning
4.95,29.7,6,United Kingdom,Clothes,Hats,CHOCOLATE HOT WATER BOTTLE,2011,1,Q1,13,Afternoon
3.75,15.0,4,United Kingdom,Kitchen,Scales,FELTCRAFT PRINCESS OLIVIA DOLL,2011,9,Q3,12,Morning
1.25,25.0,20,United Kingdom,Garden,Hoses,RED SPOT GIFT BAG LARGE,2011,2,Q1,9,Morning
0.79,15.8,20,United Kingdom,Household,Chairs,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,2011,11,Q4,13,Afternoon
0.38,1.52,4,United Kingdom,Household,Lamps,FOLK ART METAL HEART T-LIGHT HOLDER,2011,11,Q4,14,Afternoon
1.65,19.8,12,United Kingdom,Household,Curtains,CANDLE HOLDER SILVER MADELINE,2011,11,Q4,13,Afternoon
1.65,3.3,2,United Kingdom,Garden,Rakes,PLASTERS IN TIN SPACEBOY,2011,7,Q3,11,Morning
0.55,1.65,3,United Kingdom,Clothes,Shoes,SET OF 60 I LOVE LONDON CAKE CASES,2011,7,Q3,11,Morning
0.42,0.84,2,United Kingdom,Kitchen,Cutlery,SET 12 RETRO WHITE CHALK STICKS,2011,11,Q4,12,Morning
2.08,20.8,10,United Kingdom,Clothes,Hats,JUMBO STORAGE BAG SKULLS,2011,9,Q3,10,Morning
2.95,17.7,6,United Kingdom,Kitchen,Bowls,RED RETROSPOT MUG,2011,6,Q2,9,Morning
1.63,4.89,3,United Kingdom,Clothes,Shoes,CHARLOTTE BAG APPLES DESIGN,2011,9,Q3,15,Afternoon
2.51,2.51,1,United Kingdom,Garden,Turf,4 VANILLA BOTANICAL CANDLES,2011,11,Q4,13,Afternoon
2.08,4.16,2,United Kingdom,Household,Rugs,SET OF 5 PANCAKE DAY MAGNETS,2011,7,Q3,13,Afternoon
2.55,2.55,1,United Kingdom,Household,Curtains,GUMBALL COAT RACK,2010,12,Q4,13,Afternoon
9.95,9.95,1,United Kingdom,Kitchen,Cutlery,CAKES AND BOWS GIFT  TAPE,2011,8,Q3,15,Afternoon
1.65,19.8,12,United Kingdom,Clothes,Tops,HAND WARMER OWL DESIGN,2011,9,Q3,15,Afternoon
2.55,81.6,32,United Kingdom,Garden,Hoses,EGG CUP HENRIETTA HEN CREAM,2011,11,Q4,8,Morning
8.29,8.29,1,United Kingdom,Garden,Hoses,CHARLOTTE BAG VINTAGE ALPHABET,2011,11,Q4,15,Afternoon
5.79,34.74,6,United Kingdom,Garden,Seeds,HAND WARMER OWL DESIGN,2011,9,Q3,12,Morning
1.45,1.45,1,United Kingdom,Clothes,Shoes,CHILDS BREAKFAST SET CIRCUS PARADE,2011,5,Q2,11,Morning
2.08,4.16,2,United Kingdom,Household,Lamps,MINI PAINT SET VINTAGE,2011,8,Q3,15,Afternoon
3.75,22.5,6,United Kingdom,Kitchen,Bowls,ASSORTED COLOUR MINI CASES,2011,8,Q3,16,Afternoon
1.69,13.52,8,United Kingdom,Household,Rugs,RETROSPOT TEA SET CERAMIC 11 PC,2011,4,Q2,12,Morning
1.25,2.5,2,United Kingdom,Clothes,Shoes,WRAP DOILEY DESIGN,2011,5,Q2,13,Afternoon
3.75,11.25,3,United Kingdom,Kitchen,Plates,MAGNETS PACK OF 4 HOME SWEET HOME,2011,11,Q4,12,Morning
0.42,0.84,2,United Kingdom,Garden,Turf,LUNCH BOX WITH CUTLERY RETROSPOT,2011,2,Q1,9,Morning
4.96,9.92,2,United Kingdom,Clothes,Tops,ASSORTED COLOURS SILK FAN,2011,11,Q4,14,Afternoon
4.24,4.24,1,United Kingdom,Garden,Hoses,SET/6 RED SPOTTY PAPER PLATES,2010,9,Q3,14,Afternoon
1.65,19.8,12,United Kingdom,Clothes,Shoes,METAL DECORATION NAUGHTY CHILDREN,2011,10,Q4,12,Morning
2.1,2.1,1,United Kingdom,Household,Chairs,PLASTERS IN TIN STRONGMAN,2011,11,Q4,14,Afternoon
4.96,19.84,4,United Kingdom,Household,Rugs,LUNCH BAG DOILEY PATTERN,2011,5,Q2,14,Afternoon
3.75,22.5,6,United Kingdom,Garden,Turf,DOORMAT WELCOME TO OUR HOME,2011,5,Q2,10,Morning
7.95,15.9,2,United Kingdom,Garden,Hoses,WRAP VINTAGE PETALS  DESIGN,2011,1,Q1,12,Morning
0.85,8.5,10,United Kingdom,Garden,Turf,WOODLAND CHARLOTTE BAG,2011,10,Q4,12,Morning
1.65,39.6,24,United Kingdom,Household,Chairs,POSTAGE,2011,11,Q4,9,Morning
1.25,12.5,10,United Kingdom,Household,Rugs,GREEN REGENCY TEACUP AND SAUCER,2011,7,Q3,10,Morning
4.95,4.95,1,United Kingdom,Kitchen,Scales,WRAP GREEN PEARS,2011,9,Q3,14,Afternoon
0.85,1.7,2,United Kingdom,Household,Lamps,SPACEBOY ROCKET LOLLY MAKERS,2011,7,Q3,11,Morning
2.95,2.95,1,United Kingdom,Kitchen,Plates,WRAP DOLLY GIRL,2011,11,Q4,12,Morning
6.63,79.56,12,United Kingdom,Garden,Hoses,SET OF 6 HERB TINS SKETCHBOOK,2011,11,Q4,13,Afternoon
1.65,19.8,12,United Kingdom,Kitchen,Cutlery,200 RED + WHITE BENDY STRAWS,2011,10,Q4,10,Morning
0.42,1.68,4,United Kingdom,Household,Curtains,ENAMEL WATERING CAN CREAM,2011,2,Q1,11,Morning
1.45,1.45,1,United Kingdom,Clothes,Hats,PINK HAPPY BIRTHDAY BUNTING,2011,9,Q3,10,Morning
1.25,1.25,1,United Kingdom,Clothes,Tops,PACK OF 6 SKULL PAPER PLATES,2011,8,Q3,17,Afternoon
5.95,35.7,6,United Kingdom,Garden,Seeds,HEART OF WICKER SMALL,2011,6,Q2,11,Morning
1.66,3.32,2,United Kingdom,Clothes,Tops,DOORMAT WELCOME TO OUR HOME,2010,12,Q4,10,Morning
8.25,16.5,2,United Kingdom,Kitchen,Cutlery,JUMBO BAG PINK VINTAGE PAISLEY,2011,11,Q4,10,Morning
2.95,2.95,1,United Kingdom,Garden,Hoses,3D CHRISTMAS STAMPS STICKERS,2011,6,Q2,12,Morning
2.08,20.8,10,United Kingdom,Household,Curtains,TREASURE TIN BUFFALO BILL,2011,5,Q2,13,Afternoon
