invoiceno,unitprice,ordervalue,quantity,country,invoicedate,invoicetime,year_month,major_category,minor_category,description,year,month,hour,time_of_day
581492,7.46,7.46,1,United Kingdom,2011-12-09,0 days 10:03:00,2011-12,Garden,Rakes,FOOD COVER WITH BEADS SET 2,2011,12,10,Morning
568142,3.95,3.95,1,United Kingdom,2011-09-25,0 days 11:22:00,2011-09,Garden,Rakes,GLASS APOTHECARY BOTTLE ELIXIR,2011,9,11,Morning
545764,2.95,70.8,24,United Kingdom,2011-03-07,0 days 12:00:00,2011-03,Clothes,Hats,PAPER CHAIN KIT EMPIRE,2011,3,12,Afternoon
581015,1.95,15.6,8,United Kingdom,2011-12-07,0 days 09:35:00,2011-12,Kitchen,Plates,GINGHAM HEART  DOORSTOP RED,2011,12,9,Morning
537397,2.1,25.2,12,United Kingdom,2010-12-06,0 days 14:19:00,2010-12,Kitchen,Coasters,HAND WARMER BABUSHKA DESIGN,2010,12,14,Afternoon
543546,5.79,5.79,1,United Kingdom,2011-02-09,0 days 16:52:00,2011-02,Kitchen,Scales,PAPER CHAIN KIT RETROSPOT,2011,2,16,Afternoon
567662,2.08,8.32,4,United Kingdom,2011-09-21,0 days 15:12:00,2011-09,Kitchen,Cooking Knives,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011,9,15,Afternoon
574706,3.75,15.0,4,United Kingdom,2011-11-06,0 days 14:06:00,2011-11,Garden,Rakes,VINTAGE SNAKES & LADDERS,2011,11,14,Afternoon
543815,1.65,3.3,2,United Kingdom,2011-02-13,0 days 15:18:00,2011-02,Household,Curtains,EASTER TIN CHICKS PINK DAISY,2011,2,15,Afternoon
547987,0.85,8.5,10,United Kingdom,2011-03-29,0 days 09:11:00,2011-03,Clothes,Shoes,CHARLOTTE BAG SUKI DESIGN,2011,3,9,Morning
575647,4.95,59.4,12,United Kingdom,2011-11-10,0 days 14:16:00,2011-11,Household,Curtains,HOT WATER BOTTLE KEEP CALM,2011,11,14,Afternoon
551197,2.25,2.25,1,United Kingdom,2011-04-27,0 days 11:26:00,2011-04,Kitchen,Cutlery,ABC TREASURE BOOK BOX,2011,4,11,Morning
577078,0.83,7.47,9,United Kingdom,2011-11-17,0 days 15:17:00,2011-11,Kitchen,Scales,WOODEN TREE CHRISTMAS SCANDINAVIAN,2011,11,15,Afternoon
538349,0.85,1.7,2,United Kingdom,2010-12-10,0 days 14:59:00,2010-12,Household,Lamps,CARD PARTY GAMES,2010,12,14,Afternoon
567668,14.96,14.96,1,United Kingdom,2011-09-21,0 days 15:29:00,2011-09,Household,Lamps,PARISIENNE CURIO CABINET,2011,9,15,Afternoon
581471,8.5,8.5,1,United Kingdom,2011-12-08,0 days 19:29:00,2011-12,Household,Curtains,IVORY KITCHEN SCALES,2011,12,19,Evening
537144,2.95,8.85,3,United Kingdom,2010-12-05,0 days 13:00:00,2010-12,Household,Curtains,IVORY PILLAR CANDLE SILVER FLOCK,2010,12,13,Afternoon
552677,8.29,8.29,1,United Kingdom,2011-05-10,0 days 15:07:00,2011-05,Clothes,Shoes,OWL DOORSTOP,2011,5,15,Afternoon
547223,1.65,9.9,6,United Kingdom,2011-03-21,0 days 15:10:00,2011-03,Kitchen,Scales,CHILDREN'S SPACEBOY MUG,2011,3,15,Afternoon
580865,2.08,2.08,1,United Kingdom,2011-12-06,0 days 11:58:00,2011-12,Clothes,Tops,JUMBO BAG ALPHABET,2011,12,11,Morning
561693,1.45,17.4,12,United Kingdom,2011-07-29,0 days 09:48:00,2011-07,Household,Lamps,HOMEMADE JAM SCENTED CANDLES,2011,7,9,Morning
547886,4.25,12.75,3,United Kingdom,2011-03-28,0 days 09:21:00,2011-03,Clothes,Tops,BROWN CHECK CAT DOORSTOP,2011,3,9,Morning
579508,5.79,5.79,1,United Kingdom,2011-11-29,0 days 16:33:00,2011-11,Garden,Seeds,GLASS JAR DIGESTIVE BISCUITS,2011,11,16,Afternoon
560224,2.08,4.16,2,United Kingdom,2011-07-15,0 days 16:06:00,2011-07,Kitchen,Scales,JUMBO BAG DOILEY PATTERNS,2011,7,16,Afternoon
565234,5.79,52.11,9,United Kingdom,2011-09-02,0 days 09:38:00,2011-09,Garden,Hoses,ROSES REGENCY TEACUP AND SAUCER,2011,9,9,Morning
545276,1.25,52.5,42,United Kingdom,2011-03-01,0 days 11:30:00,2011-03,Clothes,Hats,ANTIQUE SILVER TEA GLASS ENGRAVED,2011,3,11,Morning
557645,1.63,1.63,1,United Kingdom,2011-06-21,0 days 17:08:00,2011-06,Clothes,Shoes,RETRO MOD TRAY,2011,6,17,Afternoon
552560,2.08,20.8,10,United Kingdom,2011-05-10,0 days 11:48:00,2011-05,Household,Curtains,JUMBO BAG DOLLY GIRL DESIGN,2011,5,11,Morning
536638,4.25,17.0,4,United Kingdom,2010-12-02,0 days 11:41:00,2010-12,Clothes,Shoes,RED RETROSPOT PUDDING BOWL,2010,12,11,Morning
572023,0.85,0.85,1,United Kingdom,2011-10-20,0 days 11:03:00,2011-10,Clothes,Shoes,PACK OF 20 SPACEBOY NAPKINS,2011,10,11,Morning
550210,202.42,202.42,1,United Kingdom,2011-04-15,0 days 10:40:00,2011-04,Household,Chairs,DOTCOM POSTAGE,2011,4,10,Morning
545661,0.42,10.5,25,United Kingdom,2011-03-04,0 days 14:41:00,2011-03,Household,Rugs,WRAP ENGLISH ROSE,2011,3,14,Afternoon
542401,1.65,4.95,3,United Kingdom,2011-01-27,0 days 15:51:00,2011-01,Household,Rugs,WOOD STAMP SET THANK YOU,2011,1,15,Afternoon
537240,3.36,23.52,7,United Kingdom,2010-12-06,0 days 10:08:00,2010-12,Kitchen,Coasters,CHRISTMAS PUDDING TRINKET POT,2010,12,10,Morning
557281,2.55,10.2,4,United Kingdom,2011-06-19,0 days 12:23:00,2011-06,Household,Rugs,PIGGY BANK RETROSPOT,2011,6,12,Afternoon
567183,2.89,5.78,2,United Kingdom,2011-09-18,0 days 15:32:00,2011-09,Kitchen,Plates,STORAGE TIN VINTAGE DOILY,2011,9,15,Afternoon
578998,1.25,1.25,1,United Kingdom,2011-11-27,0 days 16:05:00,2011-11,Clothes,Tops,BLUE HARMONICA IN BOX,2011,11,16,Afternoon
556812,10.79,10.79,1,United Kingdom,2011-06-14,0 days 17:25:00,2011-06,Household,Lamps,TEA TIME PARTY BUNTING,2011,6,17,Afternoon
565233,2.46,2.46,1,United Kingdom,2011-09-02,0 days 09:34:00,2011-09,Garden,Turf,HEART FILIGREE DOVE  SMALL,2011,9,9,Morning
580983,3.29,3.29,1,United Kingdom,2011-12-06,0 days 16:26:00,2011-12,Garden,Seeds,HEART OF WICKER SMALL,2011,12,16,Afternoon
558810,4.13,20.65,5,United Kingdom,2011-07-04,0 days 11:11:00,2011-07,Garden,Seeds,JUMBO BAG PINK VINTAGE PAISLEY,2011,7,11,Morning
556441,1.65,6.6,4,United Kingdom,2011-06-10,0 days 15:07:00,2011-06,Clothes,Shoes,GARDENERS KNEELING PAD CUP OF TEA,2011,6,15,Afternoon
544065,0.75,9.0,12,United Kingdom,2011-02-15,0 days 13:52:00,2011-02,Clothes,Shoes,ASSORTED COLOURS SILK FAN,2011,2,13,Afternoon
580908,1.95,1.95,1,United Kingdom,2011-12-06,0 days 13:20:00,2011-12,Garden,Turf,3 STRIPEY MICE FELTCRAFT,2011,12,13,Afternoon
545085,7.95,7.95,1,United Kingdom,2011-02-28,0 days 11:19:00,2011-02,Garden,Seeds,DOORMAT FANCY FONT HOME SWEET HOME,2011,2,11,Morning
580877,1.25,1.25,1,United Kingdom,2011-12-06,0 days 12:15:00,2011-12,Garden,Rakes,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,2011,12,12,Afternoon
581439,2.46,7.38,3,United Kingdom,2011-12-08,0 days 16:30:00,2011-12,Garden,Turf,HEART FILIGREE DOVE  SMALL,2011,12,16,Afternoon
572321,0.62,7.44,12,United Kingdom,2011-10-24,0 days 08:59:00,2011-10,Household,Rugs,PACK OF 6 LARGE FRUIT STRAWS,2011,10,8,Morning
573543,4.95,4.95,1,United Kingdom,2011-10-31,0 days 13:05:00,2011-10,Clothes,Tops,RETROSPOT HEART HOT WATER BOTTLE,2011,10,13,Afternoon
578270,2.46,22.14,9,United Kingdom,2011-11-23,0 days 13:39:00,2011-11,Household,Curtains,TRADITIONAL MODELLING CLAY,2011,11,13,Afternoon
563692,4.95,9.9,2,United Kingdom,2011-08-18,0 days 13:01:00,2011-08,Clothes,Tops,CHOCOLATE HOT WATER BOTTLE,2011,8,13,Afternoon
562727,3.75,15.0,4,United Kingdom,2011-08-09,0 days 09:26:00,2011-08,Garden,Hoses,SET OF 6 SOLDIER SKITTLES,2011,8,9,Morning
570288,2.1,6.3,3,United Kingdom,2011-10-10,0 days 11:47:00,2011-10,Household,Rugs,HAND WARMER BIRD DESIGN,2011,10,11,Morning
541421,7.46,7.46,1,United Kingdom,2011-01-17,0 days 17:44:00,2011-01,Garden,Turf,GREEN FERN SKETCHBOOK,2011,1,17,Afternoon
554788,7.95,15.9,2,United Kingdom,2011-05-26,0 days 12:00:00,2011-05,Clothes,Tops,SWEETHEART WIRE MAGAZINE RACK,2011,5,12,Afternoon
579089,0.29,0.29,1,United Kingdom,2011-11-28,0 days 10:46:00,2011-11,Kitchen,Plates,SET/4 BIRD MIRROR MAGNETS,2011,11,10,Morning
543645,1.65,4.95,3,United Kingdom,2011-02-10,0 days 17:54:00,2011-02,Garden,Rakes,LUNCH BAG DOLLY GIRL DESIGN,2011,2,17,Afternoon
565441,0.65,3.9,6,United Kingdom,2011-09-04,0 days 14:08:00,2011-09,Garden,Turf,BLACK CANDELABRA T-LIGHT HOLDER,2011,9,14,Afternoon
556107,0.42,10.5,25,United Kingdom,2011-06-08,0 days 17:09:00,2011-06,Garden,Rakes,BLUE SCANDINAVIAN PAISLEY WRAP,2011,6,17,Afternoon
561231,1.95,5.85,3,United Kingdom,2011-07-26,0 days 10:20:00,2011-07,Clothes,Shoes,DOLLY GIRL LUNCH BOX,2011,7,10,Morning
549714,1.25,1.25,1,United Kingdom,2011-04-11,0 days 14:13:00,2011-04,Clothes,Shoes,GROW A FLYTRAP OR SUNFLOWER IN TIN,2011,4,14,Afternoon
559784,2.08,20.8,10,United Kingdom,2011-07-12,0 days 12:07:00,2011-07,Kitchen,Bowls,JUMBO BAG 50'S CHRISTMAS,2011,7,12,Afternoon
537154,3.25,26.0,8,United Kingdom,2010-12-05,0 days 13:05:00,2010-12,Kitchen,Plates,CREAM CUPID HEARTS COAT HANGER,2010,12,13,Afternoon
568134,0.83,0.83,1,United Kingdom,2011-09-23,0 days 17:02:00,2011-09,Garden,Turf,GOLD MINI TAPE MEASURE,2011,9,17,Afternoon
575607,1.63,1.63,1,United Kingdom,2011-11-10,0 days 12:37:00,2011-11,Garden,Hoses,PORCELAIN ROSE SMALL,2011,11,12,Afternoon
554839,4.95,29.7,6,United Kingdom,2011-05-26,0 days 17:15:00,2011-05,Clothes,Hats,SPOTTY BUNTING,2011,5,17,Afternoon
543256,1.25,7.5,6,United Kingdom,2011-02-04,0 days 15:54:00,2011-02,Garden,Rakes,ROMANTIC PINKS RIBBONS,2011,2,15,Afternoon
575587,0.79,9.48,12,United Kingdom,2011-11-10,0 days 12:01:00,2011-11,Kitchen,Cooking Knives,ASS FLORAL PRINT SPIRIT LEVEL,2011,11,12,Afternoon
565350,1.25,3.75,3,United Kingdom,2011-09-02,0 days 14:42:00,2011-09,Kitchen,Bowls,TRADITIONAL WOODEN CATCH CUP GAME,2011,9,14,Afternoon
570187,3.29,3.29,1,United Kingdom,2011-10-07,0 days 15:09:00,2011-10,Clothes,Shoes,JAM MAKING SET PRINTED,2011,10,15,Afternoon
576618,10.79,10.79,1,United Kingdom,2011-11-15,0 days 17:00:00,2011-11,Clothes,Tops,TRELLIS COAT RACK,2011,11,17,Afternoon
539215,3.75,3.75,1,United Kingdom,2010-12-16,0 days 12:42:00,2010-12,Kitchen,Coasters,ALARM CLOCK BAKELIKE RED,2010,12,12,Afternoon
575491,1.25,3.75,3,United Kingdom,2011-11-09,0 days 17:47:00,2011-11,Household,Curtains,UNION JACK FLAG LUGGAGE TAG,2011,11,17,Afternoon
575410,1.25,15.0,12,United Kingdom,2011-11-09,0 days 15:50:00,2011-11,Clothes,Tops,POCKET BAG BLUE PAISLEY RED SPOT,2011,11,15,Afternoon
546220,0.55,39.6,72,United Kingdom,2011-03-10,0 days 12:16:00,2011-03,Clothes,Shoes,PACK OF 72 RETROSPOT CAKE CASES,2011,3,12,Afternoon
569225,1.45,2.9,2,United Kingdom,2011-10-02,0 days 14:25:00,2011-10,Garden,Turf,PANTRY MAGNETIC  SHOPPING LIST,2011,10,14,Afternoon
541221,2.46,4.92,2,United Kingdom,2011-01-14,0 days 14:28:00,2011-01,Kitchen,Plates,SKULLS WRITING SET,2011,1,14,Afternoon
573415,4.95,9.9,2,United Kingdom,2011-10-30,0 days 16:17:00,2011-10,Household,Rugs,GINGHAM RECIPE BOOK BOX,2011,10,16,Afternoon
574856,4.13,4.13,1,United Kingdom,2011-11-07,0 days 12:06:00,2011-11,Clothes,Shoes,SET OF 5 LUCKY CAT MAGNETS,2011,11,12,Afternoon
581112,2.08,24.96,12,United Kingdom,2011-12-07,0 days 12:17:00,2011-12,Clothes,Hats,BICYCLE PUNCTURE REPAIR KIT,2011,12,12,Afternoon
565396,2.46,2.46,1,United Kingdom,2011-09-02,0 days 16:39:00,2011-09,Clothes,Tops,ROLL WRAP VINTAGE SPOT,2011,9,16,Afternoon
545580,0.55,13.2,24,United Kingdom,2011-03-04,0 days 08:43:00,2011-03,Garden,Seeds,72 SWEETHEART FAIRY CAKE CASES,2011,3,8,Morning
562085,1.45,34.8,24,United Kingdom,2011-08-02,0 days 12:27:00,2011-08,Kitchen,Plates,JAM MAKING SET PRINTED,2011,8,12,Afternoon
559505,2.95,35.4,12,United Kingdom,2011-07-08,0 days 15:16:00,2011-07,Clothes,Shoes,NATURAL SLATE HEART CHALKBOARD,2011,7,15,Afternoon
539453,25.49,25.49,1,United Kingdom,2010-12-17,0 days 17:08:00,2010-12,Kitchen,Plates,12 EGG HOUSE PAINTED WOOD,2010,12,17,Afternoon
579142,0.85,2.55,3,United Kingdom,2011-11-28,0 days 13:06:00,2011-11,Clothes,Tops,CHRISTMAS RETROSPOT TREE WOOD,2011,11,13,Afternoon
548309,1.65,1.65,1,United Kingdom,2011-03-30,0 days 12:02:00,2011-03,Garden,Seeds,PLASTERS IN TIN CIRCUS PARADE,2011,3,12,Afternoon
540703,0.42,10.5,25,United Kingdom,2011-01-11,0 days 09:58:00,2011-01,Household,Curtains,WRAP SUKI AND FRIENDS,2011,1,9,Morning
546913,2.95,2.95,1,United Kingdom,2011-03-17,0 days 20:18:00,2011-03,Clothes,Tops,RECIPE BOX RETROSPOT,2011,3,20,Evening
550834,4.25,4.25,1,United Kingdom,2011-04-21,0 days 10:51:00,2011-04,Garden,Turf,BOX OF 6 ASSORTED COLOUR TEASPOONS,2011,4,10,Morning
581167,2.08,20.8,10,United Kingdom,2011-12-07,0 days 14:52:00,2011-12,Household,Chairs,JUMBO  BAG BAROQUE BLACK WHITE,2011,12,14,Afternoon
547655,1.25,15.0,12,United Kingdom,2011-03-24,0 days 12:52:00,2011-03,Household,Curtains,HOME SWEET HOME MUG,2011,3,12,Afternoon
567333,0.39,9.36,24,United Kingdom,2011-09-19,0 days 14:55:00,2011-09,Household,Rugs,MOODY GIRL DOOR HANGER,2011,9,14,Afternoon
550211,4.13,4.13,1,United Kingdom,2011-04-15,0 days 10:41:00,2011-04,Household,Curtains,JUMBO SHOPPER VINTAGE RED PAISLEY,2011,4,10,Morning
564223,4.95,14.85,3,United Kingdom,2011-08-24,0 days 09:46:00,2011-08,Kitchen,Cutlery,EMPIRE UNION JACK TV DINNER TRAY,2011,8,9,Morning
563333,2.95,11.8,4,United Kingdom,2011-08-15,0 days 13:09:00,2011-08,Household,Lamps,PHOTO FRAME CORNICE,2011,8,13,Afternoon
577058,0.83,0.83,1,United Kingdom,2011-11-17,0 days 14:29:00,2011-11,Household,Chairs,TOILET SIGN OCCUPIED OR VACANT,2011,11,14,Afternoon
541282,1.25,7.5,6,United Kingdom,2011-01-17,0 days 12:31:00,2011-01,Clothes,Tops,RETRO COFFEE MUGS ASSORTED,2011,1,12,Afternoon
580771,0.79,3.16,4,United Kingdom,2011-12-06,0 days 10:58:00,2011-12,Household,Lamps,SET OF 4 NAPKIN CHARMS CROWNS,2011,12,10,Morning
554538,19.95,39.9,2,United Kingdom,2011-05-24,0 days 17:46:00,2011-05,Clothes,Hats,SWEETHEART CREAM STEEL TABLE RECT,2011,5,17,Afternoon
562851,1.65,19.8,12,United Kingdom,2011-08-10,0 days 10:09:00,2011-08,Kitchen,Scales,HEART FILIGREE DOVE LARGE,2011,8,10,Morning
559338,0.83,1.66,2,United Kingdom,2011-07-07,0 days 16:30:00,2011-07,Household,Lamps,SCOTTIE DOGS BABY BIB,2011,7,16,Afternoon
578072,2.49,4.98,2,United Kingdom,2011-11-22,0 days 16:02:00,2011-11,Household,Curtains,BOX OF 6 MINI VINTAGE CRACKERS,2011,11,16,Afternoon
556734,5.95,17.85,3,United Kingdom,2011-06-14,0 days 12:00:00,2011-06,Garden,Seeds,BLACK/BLUE POLKADOT UMBRELLA,2011,6,12,Afternoon
557476,4.95,39.6,8,United Kingdom,2011-06-20,0 days 13:41:00,2011-06,Kitchen,Plates,PARTY BUNTING,2011,6,13,Afternoon
539739,1.66,6.64,4,United Kingdom,2010-12-21,0 days 15:19:00,2010-12,Household,Lamps,SMALL HEART MEASURING SPOONS,2010,12,15,Afternoon
581023,7.46,29.84,4,United Kingdom,2011-12-07,0 days 10:35:00,2011-12,Clothes,Shoes,SET 6 SCHOOL MILK BOTTLES IN CRATE,2011,12,10,Morning
579508,3.29,3.29,1,United Kingdom,2011-11-29,0 days 16:33:00,2011-11,Garden,Seeds,CERAMIC CHERRY CAKE MONEY BANK,2011,11,16,Afternoon
575176,0.42,0.84,2,United Kingdom,2011-11-08,0 days 18:29:00,2011-11,Clothes,Shoes,CARD SUKI BIRTHDAY,2011,11,18,Evening
573876,0.55,1.1,2,United Kingdom,2011-11-01,0 days 12:48:00,2011-11,Household,Curtains,SET OF 60 I LOVE LONDON CAKE CASES,2011,11,12,Afternoon
559818,0.55,79.2,144,United Kingdom,2011-07-12,0 days 16:37:00,2011-07,Garden,Seeds,COLOUR GLASS T-LIGHT HOLDER HANGING,2011,7,16,Afternoon
